,University Admission year,Gender,Age,H.S.C passing year,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?
19,2021,Male,19,2020,4,No,Yes,3,2,Online,Yes,Yes,2,Intermediate,70,Yes,No,Yes,Web development,2,Software,Single,No,Family,No,6.7,No,7.875,36,20000
20,2021,Female,21,2019,4,Yes,No,3,2,Offline,Yes,Yes,2,Intermediate,96,No,No,Yes,Web development,1,Web Development,Single,Yes,Bachelor,No,9.525,No,9.125,34,30000
21,2021,Male,21,2020,4,Yes,No,3,3,Offline,Yes,Yes,2,Intermediate,80,Yes,No,No,Networking,2,NETWORKING,Single,No,Bachelor,No,6.7,No,7.875,36,50000
22,2021,Male,22,2020,4,Yes,No,2,1,Offline,Yes,Yes,2,Intermediate,98,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,6.7,No,7.875,36,20000
23,2020,Female,21,2019,4,No,Yes,6,3,Offline,Yes,Yes,3,Intermediate,95,No,No,No,Programming,3,Software,Single,Yes,Family,No,6.7,No,7.875,36,25000
24,2021,Male,21,2020,4,Yes,Yes,1,1,Online,Yes,Yes,1,Advance,85,No,No,Yes,Others,2,Machine Learning,Single,Yes,Bachelor,Yes,9.725,No,9.525,35,35000
25,2021,Female,20,2020,4,No,No,3,2,Offline,Yes,Yes,1,Basic,97,No,No,Yes,Programming,2,Software,Single,No,Family,No,9.475,No,9.549999999999999,39,50000
26,2021,Male,20,2020,4,No,No,4,3,Offline,Yes,No,3,Basic,95,No,No,No,Programming,2,Software,Single,Yes,Bachelor,No,6.7,No,7.875,36,4000
27,2021,Male,19,2020,4,Yes,Yes,2,1,Online,Yes,Yes,4,Intermediate,70,Yes,No,Yes,Programming,4,Artificial Intelligence,Single,Yes,Family,Yes,8.875,No,8.7,35,40000
28,2021,Male,21,2020,4,Yes,Yes,2,1,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,Yes,8.2,No,8.299999999999999,36,8000
29,2021,Male,25,2020,4,Yes,No,3,3,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Programming,3,Software,Single,Yes,Bachelor,No,6.7,No,7.875,36,47972
30,2022,Male,20,2020,2,Yes,Yes,3,3,Online,Yes,Yes,4,Intermediate,90,No,No,Yes,Programming,2,Machine Learning,Single,No,Family,No,6.7,No,7.875,11,30000
31,2022,Male,20,2020,2,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,95,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,6.7,No,7.875,11,90000
32,2022,Male,21,2021,2,No,No,5,5,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Programming,1,Software,Single,No,Bachelor,No,6.7,No,7.875,11,30000
33,2021,Male,23,2018,4,Yes,No,8,4,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,2,Software,Single,Yes,Bachelor,No,6.7,No,7.875,36,37000
34,2022,Male,20,2020,2,Yes,Yes,1,1,Offline,Yes,Yes,2,Basic,95,No,No,No,Programming,1,Software,Single,Yes,Family,No,6.7,No,7.875,11,35000
35,2022,Female,20,2020,2,Yes,Yes,3,1,Online,Yes,No,1,Intermediate,80,No,No,No,Programming,2,Software,Single,Yes,Family,No,6.7,No,7.875,11,50000
36,2022,Female,21,2019,2,Yes,No,2,1,Offline,Yes,Yes,3,Basic,99,No,No,Yes,Web development,2,Artificial Intelligence,Single,No,Bachelor,No,6.7,No,7.875,11,30000
37,2019,Male,24,2016,11,No,No,2,2,Online,Yes,Yes,5,Basic,70,Yes,No,Yes,Programming,4,Software,Single,No,Bachelor,Yes,6.7,No,7.875,126,20000
38,2022,Female,20,2020,2,Yes,Yes,4,2,Offline,Yes,Yes,4,Intermediate,100,No,No,Yes,Programming,1,Software,Single,No,Family,No,6.7,No,7.875,11,80000
39,2021,Female,22,2019,2,Yes,Yes,5,2,Offline,Yes,Yes,3,Advance,98,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,6.7,No,7.875,11,40000
40,2022,Male,20,2020,2,Yes,No,5,5,Offline,Yes,Yes,6,Basic,100,No,No,Yes,Programming,3,Machine Learning,Single,No,Bachelor,No,6.7,No,7.875,11,20000
41,2022,Male,21,2020,2,No,No,3,2,Offline,Yes,Yes,2,Basic,97,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,6.7,No,7.875,11,10000
42,2022,Male,21,2020,2,Yes,Yes,3,3,Offline,Yes,Yes,1,Basic,98,No,No,Yes,Programming,4,Software,Single,No,Bachelor,No,6.7,No,7.875,11,10000
43,2022,Male,19,2020,2,Yes,Yes,5,3,Online,Yes,Yes,6,Intermediate,90,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,6.7,No,7.875,11,40000
44,2022,Male,19,2020,2,Yes,Yes,4,2,Online,Yes,Yes,2,Intermediate,90,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,6.7,No,7.875,11,40000
45,2022,Male,19,2020,2,Yes,No,4,2,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,3,Software,Single,No,Bachelor,No,6.7,No,7.875,11,25000
46,2022,Male,20,2020,2,Yes,No,5,2,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,6.7,No,7.875,11,20000
47,2022,Male,19,2020,2,Yes,Yes,1,1,Online,Yes,Yes,1,Intermediate,90,No,No,No,Programming,2,Software,Single,Yes,Family,No,6.7,No,7.875,11,22000
48,2021,Female,20,2020,4,No,No,2,2,Offline,Yes,Yes,3,Basic,99,No,No,No,Programming,1,Software,Single,No,Family,No,9.45,No,9.7,36,200000
49,2022,Male,20,2020,2,Yes,No,7,2,Offline,Yes,Yes,5,Basic,90,No,No,Yes,Programming,2,Software,Single,No,Family,Yes,6.7,No,7.875,11,39000
50,2022,Male,21,2020,2,Yes,Yes,2,1,Online,Yes,Yes,3,Intermediate,90,No,No,No,Programming,1,Machine Learning,Single,No,Family,No,6.7,No,7.875,11,30000
51,2022,Male,21,2020,2,Yes,Yes,2,2,Offline,Yes,Yes,2,Intermediate,88,No,No,No,Programming,2,Software,Single,Yes,Family,No,10.0,No,10.0,11,20000
52,2022,Male,21,2020,2,Yes,Yes,5,2,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,6.7,No,7.875,11,30000
53,2022,Male,20,2020,2,Yes,No,3,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,Software,Single,No,Family,No,9.75,No,9.75,12,60000
54,2022,Male,20,2020,2,Yes,Yes,2,2,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,2,Software,Single,No,Family,No,6.7,No,7.875,11,40000
55,2022,Male,22,2020,2,No,Yes,1,1,Online,Yes,Yes,7,Basic,80,No,No,Yes,Networking,2,Software,Single,Yes,Family,Yes,6.7,No,7.875,11,32000
56,2021,Male,20,2020,2,Yes,No,1,2,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,Artificial Intelligence,Single,No,Family,No,6.7,No,7.875,11,30000
57,2021,Female,20,2020,2,Yes,Yes,1,2,Offline,Yes,Yes,1,Intermediate,98,No,No,No,Programming,2,Software,Single,Yes,Family,No,6.7,No,7.875,11,40000
58,2022,Male,20,2020,2,Yes,Yes,4,1,Online,Yes,Yes,3,Intermediate,85,No,No,Yes,Web development,2,Software,Single,No,Family,No,6.7,No,7.875,11,30000
59,2021,Female,20,2020,2,Yes,Yes,2,1,Offline,Yes,Yes,4,Intermediate,99,No,No,No,Programming,2,Software,Single,Yes,Family,No,6.7,No,7.875,11,40000
60,2022,Male,20,2020,2,Yes,Yes,1,1,Offline,Yes,Yes,4,Intermediate,75,No,No,Yes,Programming,1,Software,Single,No,Family,No,6.7,No,7.875,11,35000
61,2021,Male,21,2020,4,Yes,Yes,3,2,Offline,Yes,Yes,4,Intermediate,85,No,No,Yes,Web development,2,Artificial Intelligence,Relationship,No,Bachelor,No,6.7,No,7.875,36,40000
62,2019,Male,23,2017,11,No,Yes,1,2,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Web development,2,Software,Single,Yes,Bachelor,No,6.7,No,7.875,126,15000
63,2020,Male,21,2019,8,Yes,No,3,2,Offline,Yes,Yes,5,Intermediate,95,No,No,Yes,Programming,1,Software,Single,No,Bachelor,No,9.6,No,9.5,80,23000
64,2020,Male,21,2019,8,No,Yes,3,2,Offline,Yes,Yes,2,Advance,95,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,6.7,No,7.875,88,62488
65,2018,Male,24,2016,12,Yes,No,2,2,Offline,Yes,Yes,4,Intermediate,70,No,No,Yes,Programming,2,Machine Learning,Single,Yes,Bachelor,No,8.275,No,8.8,132,350000
66,2020,Male,22,2019,8,No,No,3,2,Online,Yes,Yes,4,Intermediate,100,No,No,Yes,None,2,Machine Learning,Single,No,Bachelor,No,6.7,No,7.875,88,50000
67,2022,Female,21,2020,2,Yes,No,3,1,Online,Yes,Yes,2,Advance,95,No,No,Yes,Programming,1,Software,Single,No,Family,No,6.7,No,7.875,11,40000
68,2022,Male,20,2020,2,No,No,3,2,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,5,Software,Relationship,No,Bachelor,No,6.7,No,7.875,11,35000
69,2020,Female,21,2019,8,Yes,Yes,3,2,Offline,Yes,Yes,2,Basic,80,No,No,Yes,Programming,2,Software,Single,No,Family,No,6.7,No,7.875,88,35000
70,2022,Male,21,2020,2,No,No,8,2,Online,Yes,Yes,1,Basic,100,No,No,Yes,Web development,2,Others,Single,Yes,Bachelor,No,6.7,No,7.875,11,30000
71,2020,Male,23,2018,8,Yes,Yes,2,2,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,Web development,1,Software,Single,No,Family,No,6.7,No,7.875,88,40000
72,2022,Male,20,2020,2,Yes,Yes,4,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,6.7,No,7.875,11,35000
73,2020,Female,21,2019,8,No,Yes,1,1,Online,Yes,Yes,2,Intermediate,95,No,No,No,Software Development,2,Software,Single,No,Family,Yes,6.7,No,7.875,88,40000
74,2018,Female,24,2017,12,No,Yes,2,2,Offline,Yes,Yes,3,Intermediate,80,Yes,No,Yes,Networking,1,Machine Learning,Married,Yes,Family,No,6.7,No,7.875,136,30000
75,2020,Male,22,2019,8,No,No,3,1,Online,Yes,Yes,1,Intermediate,100,No,No,No,Programming,8,Software,Single,Yes,Bachelor,No,6.7,No,7.875,88,35000
76,2020,Male,21,2019,8,No,Yes,4,1,Offline,Yes,Yes,2,Basic,95,No,No,Yes,Programming,2,Software,Single,No,Bachelor,No,6.7,No,7.875,88,25000
77,2022,Female,20,2020,2,Yes,Yes,5,3,Offline,Yes,No,2,Basic,99,No,No,Yes,Programming,2,Software,Single,Yes,Family,Yes,6.7,No,7.875,11,600000
78,2022,Female,20,2019,2,Yes,Yes,4,3,Offline,Yes,Yes,4,Basic,100,No,No,Yes,Programming,2,Software,Engaged,No,Family,No,6.7,No,7.875,11,35000
79,2020,Female,20,2019,8,Yes,No,1,1,Offline,Yes,Yes,5,Intermediate,80,No,No,Yes,Web development,2,Software,Married,No,Bachelor,No,8.725000000000001,No,9.175,71,40000
80,2020,Male,21,2019,8,No,No,4,1,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,2,NETWORKING,Single,No,Bachelor,No,7.675,No,6.8500000000000005,85,20000
81,2019,Male,21,2019,8,No,Yes,3,1,Offline,Yes,Yes,8,Intermediate,85,No,No,Yes,Others,1,NETWORKING,Single,No,Family,No,6.7,No,7.875,88,20000
82,2019,Female,21,2019,8,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,NETWORKING,Single,No,Family,No,9.399999999999999,No,8.75,83,92000
83,2020,Male,22,2019,8,No,Yes,3,1,Offline,No,Yes,1,Intermediate,98,No,No,No,Web development,2,Software,Single,No,Family,No,6.75,No,7.0,80,35000
84,2020,Male,22,2019,8,No,No,2,1,Offline,Yes,Yes,2,Intermediate,95,No,No,No,Web development,2,NETWORKING,Single,No,Bachelor,No,6.7,No,7.875,88,20000
85,2020,Male,23,2017,8,No,Yes,1,1,Online,Yes,Yes,1,Intermediate,99,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,6.7,No,7.875,88,15000
86,2020,Male,23,2017,8,Yes,Yes,2,1,Online,Yes,Yes,1,Intermediate,96,No,No,No,Networking,2,NETWORKING,Single,Yes,Family,No,6.7,No,7.875,88,30000
87,2022,Male,21,2020,2,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,9.125,No,7.875,11,45000
88,2020,Male,22,2019,8,No,Yes,1,1,Offline,Yes,Yes,15,Intermediate,100,No,No,Yes,Web development,1,Hardware,Relationship,No,Family,No,6.7,No,7.875,88,90000
89,2020,Female,21,2019,8,No,No,2,2,Offline,Yes,Yes,2,Basic,80,No,No,No,Web development,1,Machine Learning,Single,No,Family,No,6.7,No,7.875,88,35000
90,2020,Male,20,2019,8,Yes,Yes,2,1,Online,Yes,Yes,3,Basic,95,No,No,No,Web development,3,Software,Single,No,Bachelor,No,6.7,No,7.875,88,20000
91,2021,Male,21,2020,2,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,88,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,6.7,No,7.875,11,100000
92,2019,Male,23,2018,11,Yes,No,6,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Web development,2,Software,Single,Yes,Bachelor,No,9.6,No,7.75,73,30000
93,2022,Female,20,2020,2,No,No,2,1,Offline,Yes,Yes,6,Intermediate,80,Yes,No,No,Programming,2,Software,Single,No,Bachelor,No,6.7,No,7.875,11,70000
94,2018,Female,24,2016,10,No,Yes,2,1,Online,Yes,Yes,4,Basic,90,Yes,No,No,Web development,4,Software,Single,No,Family,No,6.7,No,7.875,113,40000
95,2022,Female,21,2020,2,Yes,No,2,4,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,2,Software,Engaged,Yes,Bachelor,No,6.7,No,7.875,11,10000
96,2021,Male,20,2020,4,Yes,Yes,2,1,Offline,Yes,Yes,2,Advance,82,No,No,Yes,Programming,4,Software,Relationship,No,Bachelor,No,6.7,No,7.875,36,40000
97,2021,Male,22,2020,4,Yes,Yes,1,1,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Programming,0,Software,Single,No,Family,No,6.7,No,7.875,36,20000
98,2021,Male,20,2019,5,No,No,3,2,Offline,Yes,Yes,1,Intermediate,98,No,No,No,Web development,8,Machine Learning,Single,Yes,Bachelor,No,6.7,No,7.875,50,22000
99,2019,Male,23,2017,11,No,Yes,3,2,Online,Yes,Yes,1,Intermediate,85,Yes,No,Yes,Web development,2,Software,Single,No,Bachelor,Yes,6.7,No,7.875,126,45000
100,2020,Female,21,2019,8,No,Yes,4,1,Offline,Yes,Yes,3,Intermediate,90,No,No,Yes,Web development,1,Software,Single,No,Family,No,6.7,No,7.875,88,40000
101,2022,Female,20,2020,2,Yes,Yes,2,1,Offline,Yes,Yes,5,Intermediate,90,No,No,Yes,Programming,1,Software,Single,No,Family,Yes,6.7,No,7.875,11,50000
102,2020,Female,22,2019,8,Yes,No,3,1,Offline,Yes,Yes,4,Intermediate,90,No,No,Yes,Web development,2,Software,Single,No,Bachelor,No,6.7,No,7.875,88,50000
103,2018,Male,23,2017,13,No,No,2,4,Offline,Yes,Yes,6,Basic,88,Yes,No,Yes,Networking,1,Software,Relationship,No,Bachelor,No,6.7,No,7.875,112,30000
104,2022,Male,20,2020,2,Yes,No,3,4,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Software Development,5,Software,Single,No,Bachelor,No,6.7,No,7.875,11,40000
105,2021,Male,19,2020,4,Yes,No,1,1,Offline,Yes,No,1,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,8.75,No,8.95,35,30000
106,2021,Male,21,2019,4,Yes,Yes,4,2,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Web development,2,Software,Single,Yes,Family,No,8.45,No,9.549999999999999,27,40000
107,2020,Male,21,2019,8,No,No,2,2,Offline,Yes,Yes,1,Intermediate,90,Yes,Yes,Yes,Programming,1,Machine Learning,Single,No,Bachelor,No,6.7,No,7.875,88,30000
108,2019,Female,22,2017,10,No,No,9,3,Online,Yes,Yes,1,Intermediate,88,Yes,No,No,Others,1,Hardware,Single,No,Bachelor,No,6.7,No,7.875,113,62488
109,2022,Female,19,2020,2,Yes,Yes,3,2,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,6.7,No,7.875,11,35000
110,2022,Female,22,2022,4,Yes,No,1,1,Offline,Yes,Yes,10,Basic,80,Yes,No,No,Programming,2,Software,Single,No,Family,No,6.7,No,7.875,36,100000
111,2021,Male,22,2018,4,Yes,No,3,2,Offline,Yes,Yes,3,Intermediate,80,No,No,Yes,Networking,3,Machine Learning,Single,No,Bachelor,No,6.7,No,7.875,36,30000
112,2019,Female,21,2019,9,No,No,2,3,Offline,Yes,Yes,3,Basic,92,Yes,No,Yes,Web development,1,Software,Single,Yes,Bachelor,No,4.725,No,6.725,86,20000
113,2021,Female,19,2020,4,Yes,No,7,3,Offline,Yes,No,3,Advance,90,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,9.25,No,9.425,35,62488
114,2022,Male,19,2020,2,Yes,No,4,2,Offline,Yes,Yes,2,Intermediate,95,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,6.7,No,7.875,11,30000
115,2022,Male,21,2019,2,Yes,No,5,2,Offline,Yes,Yes,3,Intermediate,95,No,No,No,Programming,2,Software,Single,No,Bachelor,No,6.7,No,7.875,11,20000
116,2019,Male,25,2018,11,Yes,No,2,1,Offline,Yes,Yes,2,Intermediate,70,Yes,No,No,Web development,4,Software,Single,No,Bachelor,Yes,0.0,No,6.324999999999999,91,30000
117,2019,Female,22,2019,9,No,Yes,3,3,Online,Yes,No,2,Basic,99,No,No,Yes,Web development,2,Data Science,Single,No,Family,Yes,6.7,No,7.875,100,20000
118,2018,Male,24,2017,13,No,No,2,2,Offline,Yes,Yes,4,Basic,50,Yes,Yes,Yes,Web development,5,Software,Married,Yes,Bachelor,No,5.5,No,6.65,110,60000
119,2017,Male,22,2017,15,Yes,No,1,1,Offline,Yes,Yes,4,Advance,100,Yes,No,Yes,Web development,4,Software,Single,No,Bachelor,Yes,6.5,No,6.5,90,62488
120,2019,Female,22,2018,11,No,Yes,3,1,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Networking,0,Software,Married,No,Family,Yes,6.75,No,7.275,120,150000
121,2018,Male,23,2017,14,No,No,2,2,Online,Yes,Yes,1,Intermediate,90,Yes,Yes,Yes,Programming,2,Software,Single,Yes,Family,No,7.175000000000001,No,7.4750000000000005,120,30000
122,2021,Male,20,2019,5,No,No,4,4,Offline,Yes,Yes,1,Intermediate,95,Yes,No,No,Programming,4,Software,Single,No,Bachelor,No,6.7,No,7.875,50,25000
123,2019,Male,23,2017,9,No,Yes,2,1,Online,Yes,Yes,4,Intermediate,70,No,No,Yes,Cyber security,4,NETWORKING,Relationship,Yes,Family,No,6.7,No,7.875,100,200000
124,2015,Male,26,2012,21,No,No,1,1,Offline,Yes,Yes,1,Basic,85,Yes,No,No,Web development,1,Hardware,Single,No,Bachelor,Yes,6.7,Yes,7.875,77,50000
125,2019,Male,22,2019,9,No,No,3,5,Online,Yes,Yes,1,Intermediate,99,No,No,No,Web development,3,Software,Single,No,Bachelor,No,6.7,No,7.875,100,40000
126,2019,Male,23,2018,9,No,Yes,1,1,Offline,Yes,Yes,1,Intermediate,70,No,No,No,Web development,1,Hardware,Relationship,Yes,Family,Yes,6.75,No,7.3,76,15000
127,2019,Male,21,2018,11,No,Yes,2,1,Offline,Yes,Yes,1,Intermediate,73,No,No,Yes,Programming,2,NETWORKING,Single,No,Family,No,6.7,No,7.875,126,75000
128,2019,Male,22,2018,11,No,No,2,2,Online,Yes,Yes,1,Intermediate,100,Yes,Yes,Yes,Programming,2,Software,Single,No,Bachelor,Yes,6.7,No,7.875,126,40000
129,2018,Female,23,2016,14,No,Yes,3,2,Offline,Yes,Yes,1,Basic,70,Yes,No,No,Programming,2,Hardware,Single,No,Bachelor,Yes,7.45,Yes,7.4,118,20000
130,2019,Female,21,2018,11,No,No,1,1,Offline,Yes,Yes,2,Advance,75,No,No,Yes,Web development,2,Software,Relationship,No,Family,No,6.7,No,7.875,126,40000
131,2021,Female,20,2019,2,Yes,No,5,2,Offline,Yes,Yes,7,Basic,80,No,No,No,Programming,2,Software,Single,Yes,Bachelor,Yes,6.7,No,7.875,11,62488
132,2019,Female,21,2019,9,No,No,6,3,Offline,Yes,Yes,2,Intermediate,88,No,No,Yes,Web development,4,Software,Single,No,Bachelor,No,6.7,No,7.875,100,62488
133,2019,Male,22,2019,9,No,No,3,4,Offline,Yes,Yes,2,Intermediate,99,No,No,No,Web development,7,Web Development,Single,No,Bachelor,No,8.8,No,7.25,100,15000
134,2020,Male,23,2018,8,Yes,Yes,4,5,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,8.7,No,7.7,68,20000
135,2016,Male,25,2014,11,Yes,Yes,2,1,Online,Yes,Yes,3,Advance,90,Yes,No,Yes,Web development,3,Software,Single,Yes,Family,No,6.7,No,7.875,126,63000
136,2019,Female,22,2018,11,Yes,Yes,1,2,Online,Yes,Yes,3,Basic,80,No,No,No,Web development,3,NETWORKING,Single,No,Family,No,6.7,No,7.875,126,50000
137,2020,Male,20,2019,6,No,No,2,2,Online,Yes,Yes,5,Basic,90,Yes,No,No,Networking,2,NETWORKING,Single,No,Family,No,6.7,No,7.875,65,40000
138,2018,Male,25,2016,14,No,No,6,4,Online,Yes,Yes,2,Advance,2,Yes,No,Yes,Web development,4,Software,Single,Yes,Family,No,7.9,No,6.7,121,60000
139,2021,Female,21,2019,5,No,No,2,3,Offline,Yes,Yes,1,Basic,87,Yes,No,Yes,Programming,1,UI/UX,Married,No,Family,No,4.8,No,6.05,39,60000
140,2021,Male,20,2020,4,No,Yes,2,1,Offline,Yes,Yes,2,Intermediate,80,No,No,Yes,Web development,4,Others,Single,No,Family,Yes,6.7,No,7.875,36,30000
141,2015,Male,27,2014,10,No,Yes,5,2,Online,Yes,Yes,6,Basic,50,Yes,No,Yes,Networking,2,NETWORKING,Single,No,Family,No,6.7,No,7.875,113,7000
142,2019,Female,22,2018,11,No,No,8,3,Online,Yes,Yes,4,Intermediate,99,No,No,Yes,Web development,4,Software,Single,No,Bachelor,No,6.7,No,7.875,126,20000
143,2022,Male,20,2020,2,No,Yes,3,3,Offline,Yes,Yes,1,Intermediate,99,No,No,No,Programming,1,Software,Single,No,Family,No,6.7,No,7.875,11,20000
144,2020,Male,22,2018,7,No,Yes,1,1,Offline,Yes,Yes,5,Basic,70,Yes,No,Yes,Networking,1,NETWORKING,Single,No,Family,No,6.7,No,7.875,77,20000
